"Monday, Sep 16 2024",,,
AB 103,,,
Event Times,Event,Contact,
9:00 A.M. - 9:50 A.M.,"ANSC 4540 01 XL 13360, MWF 0900-0950 CLAS 08/26",,
9:00 A.M. - 9:50 A.M.,"ANSC 5540 01 XL 13497, MWF 0900-0950 CLAS 08/26",,
10:00 A.M. - 10:50 A.M.,"ANSC 2010 01 12696, MWF 1000-1050 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ANSC 1010 01 10045, MWF 1310-1400 CLAS 08/26",,
4:10 P.M. - 5:30 P.M.,"FDSC 3545 01 16002, MW 1610-1730 CLAS 08/26",,
AB 104,,,
Event Times,Event,Contact,
8:00 A.M. - 8:50 A.M.,"ANSC 4150 01 XL 12697, MWF 0800-0850 CLAS 08/26",,
8:00 A.M. - 8:50 A.M.,"ANSC 5150 01 XL 12698, MWF 0800-0850 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ANSC 4260 01 XL 13271, MWF 1310-1400 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ANSC 5260 01 XL 13272, MWF 1310-1400 CLAS 08/26",,
AB 106,,,
Event Times,Event,Contact,
,,,
AB 202,,,
Event Times,Event,Contact,
,,,
AB 204,,,
Event Times,Event,Contact,
,,,
AC 100,,,
Event Times,Event,Contact,
,,,
AC 219,,,
Event Times,Event,Contact,
,,,
AC 221,,,
Event Times,Event,Contact,
,,,
AC 404A,,,
Event Times,Event,Contact,
,,,
AG 1030,,,
Event Times,Event,Contact,
,,,
AG 1032,,,
Event Times,Event,Contact,
10:00 A.M. - 10:50 A.M.,"ANTH 1200 04 15699, MWF 1000-1050 CLAS 08/26",,
11:00 A.M. - 11:50 A.M.,"ANTH 1200 05 15880, MWF 1100-1150 CLAS 08/26",,
12:00 P.M. - 12:50 P.M.,"PLNT 1000 01 15042, MWF 1200-1250 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ESE 3005 01 MMP XL 14309, MWF 1310-1400 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ESE 3005 01 MMP XL 14309, MWF 1310-1400 CLAS 08/26",,
1:10 P.M. - 2:00 P.M.,"ME 3005 01 MMP XL 12743, MWF 1310-1400 CLAS 08/26",,
